#  type bin1 bin2 theta_min theta_max 
xip  1  1  20.0  249.0
xip  1  2  25.0  249.0
xip  1  3  25.0  249.0
xip  1  4  25.0  249.0
xip  2  2  25.0  249.0
xip  2  3  25.0  249.0
xip  2  4  25.0  249.0
xip  3  3  20.0  249.0
xip  3  4  20.0  249.0
xip  4  4  15.0  249.0
xim  1  1  155.0  249.0
xim  4  4  202.0  249.0
gammat  1  1  78.0  249.0
gammat  1  2  98.0  249.0
gammat  1  3  98.0  249.0
gammat  1  4  98.0  249.0
gammat  2  1  31.0  249.0
gammat  2  2  62.0  249.0
gammat  2  3  62.0  249.0
gammat  2  4  62.0  249.0
gammat  3  1  25.0  249.0
gammat  3  2  49.0  249.0
gammat  3  3  49.0  249.0
gammat  3  4  49.0  249.0
gammat  4  1  31.0  249.0
gammat  4  2  49.0  249.0
gammat  4  3  49.0  249.0
gammat  4  4  49.0  249.0
wtheta  1  1  31.0  249.0
wtheta  2  2  25.0  249.0
wtheta  3  3  15.0  249.0
wtheta  4  4  15.0  249.0
