1 1 1 1.735970258882e-01
1 1 2 1.415703406268e-01
1 1 3 1.158840365190e-01
1 1 4 9.453570469837e-02
1 1 5 7.833325079078e-02
1 1 6 6.479016778977e-02
1 1 7 5.475051404581e-02
1 1 8 4.585087275161e-02
1 1 9 3.897566510640e-02
1 1 10 3.227517647307e-02
1 1 11 2.653914330093e-02
1 1 12 2.182731429043e-02
1 1 13 1.747309904404e-02
1 1 14 1.393598197471e-02
1 1 15 1.046830123425e-02
1 1 16 7.846511886615e-03
1 1 17 5.908012146236e-03
1 1 18 4.020699366482e-03
1 1 19 2.575585939856e-03
1 1 20 1.294127366951e-03
2 2 1 1.371366316945e-01
2 2 2 1.133443003523e-01
2 2 3 9.447490607582e-02
2 2 4 7.914497885810e-02
2 2 5 6.739668989325e-02
2 2 6 5.662494950811e-02
2 2 7 4.821192485630e-02
2 2 8 4.069596916101e-02
2 2 9 3.379901830952e-02
2 2 10 2.769666021874e-02
2 2 11 2.291156861473e-02
2 2 12 1.825870576140e-02
2 2 13 1.383792834235e-02
2 2 14 1.042572855828e-02
2 2 15 7.975897302746e-03
2 2 16 5.622531441136e-03
2 2 17 3.983117279902e-03
2 2 18 2.631783538733e-03
2 2 19 1.388582574389e-03
2 2 20 4.609689144836e-04
3 3 1 1.601009618439e-01
3 3 2 1.377336720374e-01
3 3 3 1.160397651820e-01
3 3 4 1.002862791861e-01
3 3 5 8.478663191429e-02
3 3 6 7.168880193109e-02
3 3 7 6.167281291069e-02
3 3 8 5.075262134694e-02
3 3 9 4.199957809459e-02
3 3 10 3.411468986967e-02
3 3 11 2.680419125781e-02
3 3 12 2.048736997029e-02
3 3 13 1.476095751157e-02
3 3 14 1.040933474406e-02
3 3 15 7.109066435474e-03
3 3 16 4.361811141192e-03
3 3 17 2.658376522197e-03
3 3 18 1.480545068202e-03
3 3 19 4.923287788405e-04
3 3 20 2.781730537645e-04
4 4 1 1.176586138238e-01
4 4 2 9.968465428582e-02
4 4 3 8.603905755291e-02
4 4 4 7.209117595639e-02
4 4 5 6.125964980059e-02
4 4 6 5.188134813871e-02
4 4 7 4.279003522916e-02
4 4 8 3.513848914654e-02
4 4 9 2.766240123492e-02
4 4 10 2.154857991106e-02
4 4 11 1.622196033904e-02
4 4 12 1.211839607426e-02
4 4 13 8.330492516641e-03
4 4 14 5.394591783559e-03
4 4 15 3.230569168177e-03
4 4 16 1.978409565035e-03
4 4 17 9.547549807670e-04
4 4 18 5.749262472966e-04
4 4 19 3.721174767122e-04
4 4 20 -7.784165750533e-05
5 5 1 1.033291354608e-01
5 5 2 9.147119712824e-02
5 5 3 7.748847956491e-02
5 5 4 6.504993081626e-02
5 5 5 5.545624323691e-02
5 5 6 4.716437795108e-02
5 5 7 3.852621200549e-02
5 5 8 3.163327272480e-02
5 5 9 2.538704285670e-02
5 5 10 2.028219956513e-02
5 5 11 1.515447508598e-02
5 5 12 1.099780860531e-02
5 5 13 7.890575991726e-03
5 5 14 5.452207763709e-03
5 5 15 3.313459806602e-03
5 5 16 2.216025648063e-03
5 5 17 1.907387242009e-03
5 5 18 1.143361337134e-03
5 5 19 5.336101511374e-04
5 5 20 -1.082231049170e-04
6 6 1 9.207996641694e-02
6 6 2 7.940109724550e-02
6 6 3 6.814826034621e-02
6 6 4 5.684407075463e-02
6 6 5 4.899035372243e-02
6 6 6 4.092880557225e-02
6 6 7 3.342104939270e-02
6 6 8 2.673862126085e-02
6 6 9 2.158396502166e-02
6 6 10 1.641317622209e-02
6 6 11 1.278359490441e-02
6 6 12 9.199682284795e-03
6 6 13 6.596173483239e-03
6 6 14 4.307428005938e-03
6 6 15 2.599623493191e-03
6 6 16 1.530054764472e-03
6 6 17 9.341925570589e-04
6 6 18 8.917545149730e-04
6 6 19 6.517680726025e-04
6 6 20 1.715962840719e-04
