1 1 1 5.719311185872e-04
1 1 2 4.488287524603e-04
1 1 3 3.686663503773e-04
1 1 4 2.935795004590e-04
1 1 5 2.612160766740e-04
1 1 6 2.343034972408e-04
1 1 7 1.677372967815e-04
1 1 8 1.333986125267e-04
1 1 9 1.076794910856e-04
1 1 10 8.418656689851e-05
1 1 11 6.222951601671e-05
1 1 12 5.436591336197e-05
1 1 13 4.491821147759e-05
1 1 14 3.395762427483e-05
1 1 15 3.496526180054e-05
1 1 16 3.041395440778e-05
1 1 17 2.050177195916e-05
1 1 18 1.611542456107e-05
1 1 19 1.747519377054e-05
1 1 20 1.598207882579e-05
1 2 1 1.110620524243e-03
1 2 2 1.007971394259e-03
1 2 3 8.332489153258e-04
1 2 4 6.845579076880e-04
1 2 5 5.264414604220e-04
1 2 6 4.464478984776e-04
1 2 7 3.406762650070e-04
1 2 8 2.529038213593e-04
1 2 9 2.207128920067e-04
1 2 10 1.936844488910e-04
1 2 11 1.666575269630e-04
1 2 12 1.216176403562e-04
1 2 13 1.100827310646e-04
1 2 14 9.015116847290e-05
1 2 15 7.399231789207e-05
1 2 16 5.510302607839e-05
1 2 17 4.285079639552e-05
1 2 18 3.362576897338e-05
1 2 19 3.467040168331e-05
1 2 20 2.962743587287e-05
1 3 1 1.723359813362e-03
1 3 2 1.467413168429e-03
1 3 3 1.130994213599e-03
1 3 4 1.000941809094e-03
1 3 5 8.355148700620e-04
1 3 6 6.463638039377e-04
1 3 7 5.275053976894e-04
1 3 8 4.359326381768e-04
1 3 9 3.674385545530e-04
1 3 10 3.014976126383e-04
1 3 11 2.500578111306e-04
1 3 12 2.089024844439e-04
1 3 13 1.831071927159e-04
1 3 14 1.554283089397e-04
1 3 15 1.277063451730e-04
1 3 16 1.085185649774e-04
1 3 17 8.704192524120e-05
1 3 18 7.797020317775e-05
1 3 19 6.247609836103e-05
1 3 20 5.304554567682e-05
1 4 1 1.973458276653e-03
1 4 2 1.536298517855e-03
1 4 3 1.360351332004e-03
1 4 4 1.148931089243e-03
1 4 5 8.679209394786e-04
1 4 6 7.468691122748e-04
1 4 7 6.329245957065e-04
1 4 8 5.173312531329e-04
1 4 9 4.058171501635e-04
1 4 10 3.245257959066e-04
1 4 11 2.768386910984e-04
1 4 12 2.472047269780e-04
1 4 13 2.052443925669e-04
1 4 14 1.641476138084e-04
1 4 15 1.410813627865e-04
1 4 16 1.215923016035e-04
1 4 17 1.058903266392e-04
1 4 18 8.802288197246e-05
1 4 19 6.892732473566e-05
1 4 20 6.085683664671e-05
2 1 1 3.025376571635e-04
2 1 2 1.185844502737e-04
2 1 3 1.631557744406e-04
2 1 4 1.597132604800e-04
2 1 5 1.179969028875e-04
2 1 6 1.038873945097e-04
2 1 7 8.977678675288e-05
2 1 8 7.213046105265e-05
2 1 9 5.098770659665e-05
2 1 10 4.093357655240e-05
2 1 11 3.678562475008e-05
2 1 12 1.438353558658e-05
2 1 13 2.871295169469e-05
2 1 14 7.497825202421e-06
2 1 15 1.294420817718e-05
2 1 16 1.583103671874e-05
2 1 17 1.316905134293e-05
2 1 18 7.879517328816e-06
2 1 19 3.491237744690e-06
2 1 20 4.360023990236e-06
2 2 1 7.544771116959e-04
2 2 2 5.781455901451e-04
2 2 3 4.408445785789e-04
2 2 4 2.786104096786e-04
2 2 5 2.651538179520e-04
2 2 6 1.641191327717e-04
2 2 7 1.423480713695e-04
2 2 8 1.536246853710e-04
2 2 9 1.149555424351e-04
2 2 10 8.500165073390e-05
2 2 11 7.394982924034e-05
2 2 12 6.888471719787e-05
2 2 13 4.072736376342e-05
2 2 14 4.054245146198e-05
2 2 15 3.424650813840e-05
2 2 16 2.123943633050e-05
2 2 17 1.960541685951e-05
2 2 18 1.510869236261e-05
2 2 19 1.647008748931e-05
2 2 20 1.637906812942e-05
2 3 1 1.456242838567e-03
2 3 2 1.210883854578e-03
2 3 3 9.154507309368e-04
2 3 4 7.247448323559e-04
2 3 5 5.867885153391e-04
2 3 6 4.267012531849e-04
2 3 7 3.676956620292e-04
2 3 8 2.837915044414e-04
2 3 9 2.687535886968e-04
2 3 10 2.121221488638e-04
2 3 11 1.942910399013e-04
2 3 12 1.629300465005e-04
2 3 13 1.289324269895e-04
2 3 14 1.180087776582e-04
2 3 15 9.862617595320e-05
2 3 16 7.842211126708e-05
2 3 17 6.157349074792e-05
2 3 18 5.232917053560e-05
2 3 19 4.349095371717e-05
2 3 20 2.971972785691e-05
2 4 1 1.742116803428e-03
2 4 2 1.480006712773e-03
2 4 3 1.168335574869e-03
2 4 4 9.756267190702e-04
2 4 5 7.393256250425e-04
2 4 6 5.799954526897e-04
2 4 7 4.819102714922e-04
2 4 8 4.091951694171e-04
2 4 9 3.360759543046e-04
2 4 10 2.780284894405e-04
2 4 11 2.345479678959e-04
2 4 12 1.939814784971e-04
2 4 13 1.735547662731e-04
2 4 14 1.364040902962e-04
2 4 15 1.216706307712e-04
2 4 16 1.015176401984e-04
