2.500000000000E+00 3.147313529485E+00 2.829055095984E+00
3.147313529485E+00 3.962232981153E+00 3.561725690577E+00
3.962232981153E+00 4.988155787422E+00 4.484032206734E+00
4.988155787422E+00 6.279716078774E+00 5.645219823745E+00
6.279716078774E+00 7.905694150421E+00 7.107065143443E+00
7.905694150421E+00 9.952679263837E+00 8.947775595931E+00
9.952679263837E+00 1.252968084068E+01 1.126400148418E+01
1.252968084068E+01 1.577393361200E+01 1.418063413177E+01
1.577393361200E+01 1.985820586811E+01 1.785302576940E+01
1.985820586811E+01 2.500000000000E+01 2.247486281538E+01
2.500000000000E+01 3.147313529485E+01 2.829515277578E+01
3.147313529485E+01 3.962232981153E+01 3.562038630428E+01
3.962232981153E+01 4.988155787422E+01 4.484313436791E+01
4.988155787422E+01 6.279716078774E+01 5.645423249688E+01
6.279716078774E+01 7.905694150421E+01 7.107017994296E+01
7.905694150421E+01 9.952679263837E+01 8.947027565124E+01
9.952679263837E+01 1.252968084068E+02 1.126347004153E+02
1.252968084068E+02 1.577393361200E+02 1.417929956952E+02
1.577393361200E+02 1.985820586811E+02 1.785020403906E+02
1.985820586811E+02 2.500000000000E+02 2.247199155263E+02
